Years,Prices
1/31/2000,145490.5399
2/29/2000,145250.7227
3/31/2000,145238.7634
4/30/2000,145558.7317
5/31/2000,146104.8289
6/30/2000,146873.6904
7/31/2000,147680.5141
8/31/2000,149019.1991
9/30/2000,150524.2457
10/31/2000,152389.8112
11/30/2000,154041.5178
12/31/2000,155594.8597
1/31/2001,156609.5911
2/28/2001,157719.2179
3/31/2001,159118.0027
4/30/2001,160840.497
5/31/2001,162433.7655
6/30/2001,163946.488
7/31/2001,165497.5938
8/31/2001,167342.4093
9/30/2001,169294.1536
10/31/2001,171186.7175
11/30/2001,172943.3917
12/31/2001,174604.4437
1/31/2002,176271.7447
2/28/2002,177986.408
3/31/2002,179608.1845
4/30/2002,181188.7097
5/31/2002,182773.9263
6/30/2002,184610.3135
7/31/2002,186799.8328
8/31/2002,189300.0788
9/30/2002,191875.1532
10/31/2002,194422.3842
11/30/2002,196814.1028
12/31/2002,199090.3825
1/31/2003,201573.248
2/28/2003,203975.8023
3/31/2003,206338.196
4/30/2003,208289.2685
5/31/2003,210357.8256
6/30/2003,212589.2456
7/31/2003,215190.5742
8/31/2003,217786.6362
9/30/2003,220435.828
10/31/2003,222783.7191
11/30/2003,224857.3751
12/31/2003,226769.3664
1/31/2004,228696.9945
2/29/2004,230983.3785
3/31/2004,233090.8434
4/30/2004,235107.3197
5/31/2004,237738.4626
6/30/2004,240543.2834
7/31/2004,243576.1113
8/31/2004,246499.5253
9/30/2004,250037.8098
10/31/2004,253754.9011
11/30/2004,257389.4696
12/31/2004,260431.8843
1/31/2005,263400.657
2/28/2005,265909.5794
3/31/2005,268391.039
4/30/2005,270636.9472
5/31/2005,273367.9659
6/30/2005,276451.5329
7/31/2005,280192.734
8/31/2005,283998.5544
9/30/2005,287706.9823
10/31/2005,290883.7102
11/30/2005,293355.7453
12/31/2005,295828.7573
1/31/2006,298044.5514
2/28/2006,300461.1418
3/31/2006,302896.9476
4/30/2006,305293.914
5/31/2006,307696.8751
6/30/2006,309779.1131
7/31/2006,311343.7605
8/31/2006,311612.8148
9/30/2006,311285.4683
10/31/2006,310897.8014
11/30/2006,310727.4157
12/31/2006,310029.3777
1/31/2007,309120.0398
2/28/2007,308574.607
3/31/2007,308680.7662
4/30/2007,308929.837
5/31/2007,308615.0452
6/30/2007,308090.7951
7/31/2007,307026.0429
8/31/2007,305406.3392
9/30/2007,303225.1442
10/31/2007,300928.6774
11/30/2007,299113.0934
12/31/2007,297138.8583
1/31/2008,295255.5924
2/29/2008,294081.3772
3/31/2008,292817.6638
4/30/2008,291263.1646
5/31/2008,288667.4002
6/30/2008,285901.6082
7/31/2008,283651.8502
8/31/2008,281571.3701
9/30/2008,279824.3761
10/31/2008,277277.3982
11/30/2008,274619.8304
12/31/2008,272602.3615
1/31/2009,271845.4044
2/28/2009,270532.8032
3/31/2009,267988.205
4/30/2009,264762.9433
5/31/2009,262285.4987
6/30/2009,260823.696
7/31/2009,259000.1118
8/31/2009,257241.752
9/30/2009,255654.5926
10/31/2009,254946.4471
11/30/2009,254676.0295
12/31/2009,254708.5471
1/31/2010,254922.4172
2/28/2010,255946.5143
3/31/2010,257461.3411
4/30/2010,259424.7136
5/31/2010,260049.1619
6/30/2010,259754.0412
7/31/2010,258432.0134
8/31/2010,257174.6237
9/30/2010,255441.0882
10/31/2010,253384.2881
11/30/2010,251036.5967
12/31/2010,248823.2114
1/31/2011,246143.723
2/28/2011,243616.4504
3/31/2011,241012.8891
4/30/2011,239159.7065
5/31/2011,237502.0196
6/30/2011,235782.3895
7/31/2011,233710.294
8/31/2011,231796.0905
9/30/2011,230300.0891
10/31/2011,229298.0136
11/30/2011,227556.6211
12/31/2011,225737.7952
1/31/2012,224151.6549
2/29/2012,223640.2263
3/31/2012,223595.3543
4/30/2012,223676.8403
5/31/2012,223363.4494
6/30/2012,222351.3263
7/31/2012,220973.3119
8/31/2012,218991.4486
9/30/2012,217283.7575
10/31/2012,215936.8435
11/30/2012,215417.0093
12/31/2012,214954.5993
1/31/2013,214735.1578
2/28/2013,214887.3225
3/31/2013,215827.1432
4/30/2013,217310.6641
5/31/2013,219216.3131
6/30/2013,220689.6075
7/31/2013,221606.0841
8/31/2013,222101.1934
9/30/2013,222687.0783
10/31/2013,223310.9956
11/30/2013,223921.3408
12/31/2013,224352.3449
1/31/2014,225146.2565
2/28/2014,226531.0343
3/31/2014,228723.9427
4/30/2014,230791.7815
5/31/2014,232728.5887
6/30/2014,233589.2107
7/31/2014,234116.4528
8/31/2014,233782.8471
9/30/2014,233367.7575
10/31/2014,232635.2413
11/30/2014,231790.5572
12/31/2014,231291.502
1/31/2015,230922.4753
2/28/2015,230984.0311
3/31/2015,231411.2076
4/30/2015,232081.1323
5/31/2015,233080.0589
6/30/2015,233686.1805
7/31/2015,234157.8793
8/31/2015,234550.6295
9/30/2015,234935.7852
10/31/2015,235511.8025
11/30/2015,235970.9752
12/31/2015,236482.9679
1/31/2016,237043.4588
2/29/2016,237642.6828
3/31/2016,238191.6239
4/30/2016,238713.6837
5/31/2016,239136.888
6/30/2016,239856.9558
7/31/2016,240498.5762
8/31/2016,241125.2483
9/30/2016,241365.523
10/31/2016,241487.2675
11/30/2016,241831.8611
12/31/2016,242506.2498
1/31/2017,242709.2387
2/28/2017,242513.9424
3/31/2017,242122.3116
4/30/2017,242674.1562
5/31/2017,243641.6629
6/30/2017,244754.9349
7/31/2017,245453.697
8/31/2017,245545.8297
9/30/2017,245579.8006
10/31/2017,246054.8934
11/30/2017,247562.9373
12/31/2017,249096.3526
1/31/2018,250356.5282
2/28/2018,251001.6451
3/31/2018,252057.7901
4/30/2018,253085.4099
5/31/2018,254199.2823
6/30/2018,254811.622
7/31/2018,255576.7372
8/31/2018,256001.6715
9/30/2018,256120.2953
10/31/2018,255727.1592
11/30/2018,255831.4899
12/31/2018,256363.454
1/31/2019,257441.3058
2/28/2019,258494.0044
3/31/2019,259746.776
4/30/2019,261038.7091
5/31/2019,262170.8909
6/30/2019,263155.8165
7/31/2019,263561.6388
8/31/2019,263748.4969
9/30/2019,263701.523
10/31/2019,264164.5254
11/30/2019,265209.8236
12/31/2019,266703.5825
1/31/2020,268242.2811
2/29/2020,269821.1297
3/31/2020,272003.589
4/30/2020,274344.2494
5/31/2020,275738.8128
6/30/2020,275965.5815
7/31/2020,275877.8646
8/31/2020,276243.6154
9/30/2020,278029.6954
10/31/2020,280500.7433
11/30/2020,284173.2252
12/31/2020,287624.1509
1/31/2021,290891.5297
2/28/2021,293986.5888
3/31/2021,296990.5752
4/30/2021,300583.8815
5/31/2021,304722.6523
6/30/2021,309504.445
7/31/2021,314045.0054
8/31/2021,317499.1596
9/30/2021,319774.4117
10/31/2021,321497.5855
11/30/2021,323524.8007
12/31/2021,326292.7173
1/31/2022,329610.381
2/28/2022,333649.3247
3/31/2022,338361.6148
4/30/2022,343528.2668
5/31/2022,348580.2225
6/30/2022,352476.5734
7/31/2022,354596.6561
8/31/2022,354576.1866
9/30/2022,353732.1208
10/31/2022,353135.0664
11/30/2022,353194.6105
12/31/2022,353924.9746
1/31/2023,355922.5152
2/28/2023,358708.1502
3/31/2023,362647.9764
4/30/2023,367070.7438
5/31/2023,371911.9355
6/30/2023,376025.5103
7/31/2023,379250.4071
8/31/2023,382427.9375
9/30/2023,385727.9103
10/31/2023,388544.7873
11/30/2023,390644.9958
12/31/2023,392444.1807
1/31/2024,394817.7163
2/29/2024,398650.361
3/31/2024,403194.9633
4/30/2024,407495.2548
5/31/2024,409795.7137
6/30/2024,411103.7758
7/31/2024,412667.2858
8/31/2024,415255.1952
9/30/2024,417806.6563
10/31/2024,419864.4706
11/30/2024,420935.5985
12/31/2024,421906.2613
